"GENOTYPE","FHB_ME","FDK_ME","DON_ME","HD_ME","PH_ME","FHB_KIN19","FDK_KIN19","DON_KIN19","HD_KIN20","FHB_KIN20","FDK_KIN20","DON_KIN20","PH_KIN20","HD_RAL19","FHB_RAL19","FDK_RAL19","DON_RAL19","HD_RAL20","FHB_RAL20","FDK_RAL20","DON_RAL20","PH_RAL20","FDK_WAR19","DON_WAR19","HD_WAR20","FHB_WAR20","FDK_WAR20","DON_WAR20"
"13955-178",0.897502358275701,3.14501984231675,1.93029213356302,100.499999981239,97.5000000000318,0.693146587082732,3.21856966744219,2.38192728332751,88.5,1.2514890881483,3.9111029248335,2.99824766324703,97.4999999999999,104,1.17865499634166,3.21829748008082,2.02553794396013,89,0.916290731873915,2.52403132737785,1.51455469900056,97.5000000000001,30,2.22883688242662,120.5,1,2.5256907466182,0.0392207131528209
"13955-144",1.90841573209077,4.0482608236749,2.9340496136702,99.6249999813078,86.2500000000318,1.94591014905516,3.80635633234431,3.45879958535922,88,2.07816766133277,4.00641310463782,2.75821287517763,83.75,101.5,1.94591014905532,4.3814482898865,4.24857040525222,88,1.70474809223821,3.47954277240528,1.86353737255167,88.7500000000001,89.9999999999999,3.07307429666072,121,7,4.09430666453204,2.13060982825374
"13955-160",1.07550656721826,2.87083094318865,1.56306039540067,99.2499999812625,96.2500000000318,1.25276296849524,2.99542611612798,2.03898253220068,89,1.09733840832104,3.40027730106751,2.07372860435234,95,100.5,1.25276296849538,3.31360765988515,2.60822812895577,88,1.25276296849516,2.7063528841718,0.369422394697553,97.5000000000001,15,1.60289845156013,119.5,1.5,2.01486512285221,0.350656871612752
"13955-130",0.694734069757247,2.41164223010786,1.42687303536707,100.874999981369,96.2500000000316,0.693147180559867,2.52542248688225,2.23313854664164,88.5,1.09733840832104,2.70713012050756,1.94807099167852,96.25,103,0.559615787935425,2.86162253614209,1.97183376498827,89,0.693147180559735,2.30088777606364,0.949240889950495,96.25,3.5527136788005e-15,1.10860212974535,123,1.5,2.99569437586394,0.751416088683431
"13955-64",1.07550657417941,3.03268125931297,1.75757755829842,100.999999981187,96.8750000000319,0.405465108108185,3.40089122423615,2.32503990892546,89.5,1.5028035164292,3.55442798089477,1.76999572576601,91.2499999999999,102,1.25276296849538,3.62376258818899,2.83283046973364,90,0.916290731873965,2.30088777606364,1.37317282065702,102.5,10,1.57243924407542,122.5,3,2.86216298323941,0.841567185677763
"13955-115",1.37561110853249,3.25956824641568,1.77378855280483,98.3749999814451,74.3750000000315,1.50407739677619,3.48093393190969,3.00838308938879,86.5,2.0136291401952,3.55442798089477,2.00325740724581,70,100.5,1.44691898293632,3.80608414498294,2.72194777015489,87,1.0986122886679,3.11181799227997,0.954968686771426,78.75,25,1.04077953340658,119.5,1,2.30254719530399,0.198850858744674
"13955-15",1.07931761041531,3.4655594014436,2.049170502135,102.37499998132,100.000000000032,1.09861288214532,3.58009432065627,2.7947776578942,93,0.915016851527087,3.21795574427355,2.35093937693682,98.75,106,1.3862943611199,3.62376258818899,2.99155211118672,88.5,1.25276296849516,3.11181799227997,0.90841889543024,101.25,55,2.18511407141279,122,2,3.21883792717815,0.662687973074786
"13955-154",0.852363047724619,3.09013206518634,1.77928111005643,99.7499999813012,100.625000000032,0.693147180559805,3.55504190406341,2.72887767737425,89.5,0.915016851527087,2.99481219295934,2.38838283111685,100,102,0.916290731874164,2.86162253614209,2.14259449938115,88,0.405465108107968,2.86050356399906,1.09766089506877,101.25,15,1.70725846688437,119.5,3.5,3.48120219164564,0.662687973074829
"13955-153",1.1858546103472,3.06070289487129,1.57331180384425,99.1249999813022,90.0000000000317,1.25276296849523,2.86189472350346,2.36332209549648,86.5,1.50280351642921,3.40027730106751,1.73550954969484,88.75,101.5,1.32175583998233,3.62376258818899,2.57859633134939,88,1.25276296849517,2.30088777606364,-0.117872731658243,91.2500000000001,20,1.6128487824133,120.5,1.5,3.11347741152032,0.576613364303587
"13955-108",1.81744394665515,3.94245417009098,2.69054861808251,95.99999998148,84.4500000000314,1.94591014905519,4.09403840479609,3.82965916428991,81,1.94463626870824,4.09342448162746,2.86577915823364,83.9,99,1.87180217690159,4.05120660301593,3.50237773495271,85,1.60943791243389,3.47954277240528,1.25507327922176,85,69.9999999999999,2.75030090439767,119,6,3.68884155642388,1.66013102674913
